CityID,City,Country,Latitude,Temperature (F),Humidity %,Wind (MPH),Cloud %
1580830,Hoa Binh,VN,20.81,71.6,64,3.36,0
1263648,Manohar Thana,IN,24.24,85.62,38,2.93,8
3370903,Jamestown,SH,-15.94,67.44,100,12.44,48
6111867,Port Hawkesbury,CA,45.62,42.8,93,4.7,90
1271439,Manpur,IN,24.8,84.2,66,3.36,0
2664855,Varnamo,SE,57.19,49.06,87,13.87,75
1337620,Funadhoo,MV,6.15,83.86,100,5.73,24
3456160,Olinda,BR,-22.82,73.98,83,6.93,90
2123814,Leningradskiy,RU,69.38,18.16,100,2.59,92
2746804,Steenbergen,NL,51.59,50.72,57,10.29,20
2067089,Maningrida,AU,-12.05,86.07,71,16.02,0
1624041,Ternate,ID,0.8,84.81,100,8.19,48
1783956,Yatou,CN,33.81,36.48,78,1.7,0
5592562,Emmett,US,43.87,39.56,100,3.36,75
2094342,Kavieng,PG,-2.57,81.12,100,8.08,36
1688696,San Policarpo,PH,12.18,81.93,94,11.65,76
1786764,Yichang,CN,30.77,57.04,61,4.27,20
3996322,Mazatlan,MX,23.22,68.0,100,3.36,5
1485904,Yermakovskoye,RU,53.28,21.4,61,4.94,36
2654970,Brae,GB,60.4,47.43,75,11.41,20
321031,Bismil,TR,37.85,69.8,28,4.7,75
3069862,Nepomuk,CZ,49.49,48.2,81,3.36,75
2644597,Letchworth,GB,51.98,49.77,70,10.29,20
2110227,Butaritari,KI,3.07,84.04,100,10.65,80
522742,Neman,RU,55.03,61.18,68,9.75,0
1129516,Qarqin,AF,37.41,45.57,62,13.22,0
3939761,Hualmay,PE,-11.1,60.42,94,1.59,20
3671387,Puerto Narino,CO,-3.77,73.4,94,2.24,75
287286,Ruwi,OM,23.6,86.0,40,20.8,20
2508813,Adrar,DZ,27.87,75.2,29,23.04,0
5536630,Cedar City,US,37.68,30.92,92,5.82,1
2084442,Vanimo,PG,-2.67,78.64,100,7.74,88
3133895,Tromso,NO,69.65,39.2,88,5.82,0
708313,Zatoka,UA,49.85,59.0,77,8.95,0
6067747,Matagami,CA,49.76,28.4,100,2.24,90
1039536,Maxixe,MZ,-23.86,78.8,74,11.41,75
1801850,Luorong,CN,24.41,61.45,53,4.27,0
2029156,Suhbaatar,MN,50.23,15.01,61,5.39,0
5883166,Alberton,CA,46.81,43.0,100,2.15,92
1800521,Minggang,CN,32.45,57.85,50,9.64,24
1267433,Kattivakkam,IN,13.22,84.2,79,4.7,40
3085056,Srem,PL,52.09,57.2,62,6.93,0
1645528,Denpasar,ID,-8.65,76.3,89,1.92,20
3694112,Paita,PE,-5.09,65.23,88,5.39,48
6320062,Vila Velha,BR,-3.71,86.0,62,17.22,75
4011743,Constitucion,MX,23.99,38.82,78,4.16,0
2360541,Gayeri,BF,12.65,98.76,34,3.6,8
934479,Grand Gaube,MU,-20.01,80.6,69,9.17,40
3665202,Aripuana,BR,-9.17,81.57,88,3.04,12
121795,Oshnaviyeh,IR,37.04,53.6,46,6.93,75
1650434,Bambanglipuro,ID,-7.95,80.53,65,5.06,44
4996248,Holland,US,42.79,37.42,72,4.7,75
2137773,Vao,NC,-22.67,71.49,100,20.49,8
4732862,Nome,US,30.04,45.23,93,3.83,1
566629,Demyansk,RU,57.64,43.32,94,11.43,92
97783,Bayji,IQ,34.93,84.76,22,8.97,20
1645875,Curup,ID,-3.47,73.15,90,1.92,76
60019,Eyl,SO,7.98,83.28,78,14.45,0
3362349,Robertson,ZA,-33.8,74.01,26,2.82,0
3868633,Vallenar,CL,-28.58,58.89,83,2.59,36
2180815,Tuatapere,NZ,-46.13,57.63,80,24.52,68
3176982,Finale Ligure,IT,44.17,58.48,82,10.29,75
5961417,Gimli,CA,50.63,31.98,100,3.83,88
3372760,Praia da Vitoria,PT,38.73,71.6,83,25.19,20
3463698,Euclides da Cunha,BR,-10.51,83.41,49,7.4,0
2126682,Bilibino,RU,68.06,0.84,79,2.48,68
3645213,Coro,VE,11.41,80.6,78,13.0,20
1651112,Astanajapura,ID,-6.79,84.49,99,6.4,20
2173323,Bundaberg,AU,-24.87,74.28,98,12.77,8
2399001,Mayumba,GA,-3.44,80.31,94,6.96,12
5924351,Clyde River,CA,70.47,10.4,78,13.87,20
3652764,Puerto Ayora,EC,-0.74,69.8,77,8.3,75
2218840,Bani Walid,LY,31.76,76.71,60,4.61,24
2514651,Los Llanos de Aridane,ES,28.66,75.2,60,11.41,40
882100,Rusape,ZW,-18.53,72.25,71,2.48,48
494970,Sheltozero,RU,61.37,43.14,100,5.95,92
2126123,Chokurdakh,RU,70.62,-2.68,61,3.04,44
3373652,Oistins,BB,13.07,82.4,78,16.11,20
2071860,Esperance,AU,-33.86,59.38,81,7.52,24
5856516,Ahuimanu,US,21.44,75.69,90,11.41,90
5855051,Ewa Beach,US,21.32,75.72,90,11.41,90
6167817,Torbay,CA,47.66,39.96,93,11.41,75
780687,Berlevag,NO,70.86,36.37,74,4.7,0
1642911,Makasar,ID,-6.28,84.2,74,6.93,20
2267254,Lagoa,PT,37.14,69.8,60,11.41,40
1682913,Tapon,PH,10.06,84.2,74,9.17,20
1282256,Hithadhoo,MV,-0.6,80.76,100,9.86,92
6316343,Alta Floresta,BR,-9.87,82.11,87,2.93,12
3459867,Joaima,BR,-16.65,80.08,69,4.16,80
1258289,Rayagada,IN,19.17,82.92,50,2.93,100
2015306,Tiksi,RU,71.64,-6.28,57,4.38,0
2075265,Busselton,AU,-33.64,63.21,100,8.41,76
1503153,Klyuchi,RU,52.25,29.01,67,17.81,80
2019945,Mishelevka,RU,52.86,10.51,71,3.15,0
3996234,Lazaro Cardenas,MX,28.39,39.63,72,2.82,0
1634614,Nabire,ID,-3.36,68.79,97,1.7,92
978895,Margate,ZA,-30.86,64.06,100,15.57,76
5954718,Flin Flon,CA,54.77,24.8,92,3.36,90
3401148,Cururupu,BR,-1.82,89.22,60,8.63,0
1799908,Nanlong,CN,31.35,58.39,70,2.37,0
6185377,Yellowknife,CA,62.45,24.8,85,13.87,90
2132606,Samarai,PG,-10.62,77.43,100,15.35,88
3355672,Luderitz,NA,-26.65,75.2,33,14.99,0
763066,Orneta,PL,54.12,60.06,64,7.63,0
3671519,Puerto Carreno,CO,6.19,80.6,88,9.17,0
2191562,Dunedin,NZ,-45.87,49.53,80,11.65,88
2021017,Kysyl-Syr,RU,63.9,10.24,73,7.52,68
3421193,Paamiut,GL,61.99,28.74,100,7.96,12
4852022,Clinton,US,41.84,36.46,93,3.36,90
3418910,Upernavik,GL,72.79,19.6,100,7.74,12
2188371,Lincoln,NZ,-43.64,50.0,81,6.93,92
2077963,Albany,AU,-35.02,57.85,75,5.61,48
676331,Hangu,RO,47.07,68.56,50,2.37,48
3908339,Patacamaya,BO,-17.23,40.48,96,4.5,76
3374083,Bathsheba,BB,13.22,82.4,78,16.11,20
