,base,clouds,cod,coord,dt,id,main,name,rain,sys,visibility,weather,wind
0,stations,{'all': 0},200,"{'lon': 105.34, 'lat': 20.81}",1541161800,1580830,"{'temp': 71.6, 'pressure': 1016, 'humidity': 64, 'temp_min': 71.6, 'temp_max': 71.6}",Hoa Binh,,"{'type': 1, 'id': 7980, 'message': 0.0035, 'country': 'VN', 'sunrise': 1541113292, 'sunset': 1541154152}",8000.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]","{'speed': 3.36, 'deg': 320}"
1,stations,{'all': 8},200,"{'lon': 76.8, 'lat': 24.24}",1541163336,1263648,"{'temp': 85.62, 'pressure': 975.98, 'humidity': 38, 'temp_min': 85.62, 'temp_max': 85.62, 'sea_level': 1023.35, 'grnd_level': 975.98}",Manohar Thana,,"{'message': 0.0058, 'country': 'IN', 'sunrise': 1541120395, 'sunset': 1541160745}",,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '02n'}]","{'speed': 2.93, 'deg': 53.5007}"
2,stations,{'all': 48},200,"{'lon': -5.72, 'lat': -15.94}",1541163097,3370903,"{'temp': 67.44, 'pressure': 1029.31, 'humidity': 100, 'temp_min': 67.44, 'temp_max': 67.44, 'sea_level': 1029.35, 'grnd_level': 1029.31}",Jamestown,,"{'message': 0.0039, 'country': 'SH', 'sunrise': 1541137521, 'sunset': 1541183258}",,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]","{'speed': 12.44, 'deg': 98.5007}"
3,stations,{'all': 90},200,"{'lon': -61.36, 'lat': 45.62}",1541160000,6111867,"{'temp': 42.8, 'pressure': 1016, 'humidity': 93, 'temp_min': 42.8, 'temp_max': 42.8}",Port Hawkesbury,,"{'type': 1, 'id': 3499, 'message': 0.0041, 'country': 'CA', 'sunrise': 1541155636, 'sunset': 1541191803}",14484.0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]","{'speed': 4.7, 'deg': 120}"
4,stations,{'all': 0},200,"{'lon': 85.03, 'lat': 24.8}",1541160000,1271439,"{'temp': 84.2, 'pressure': 1011, 'humidity': 66, 'temp_min': 84.2, 'temp_max': 84.2}",Manpur,,"{'type': 1, 'id': 7788, 'message': 0.0035, 'country': 'IN', 'sunrise': 1541118461, 'sunset': 1541158728}",3000.0,"[{'id': 721, 'main': 'Haze', 'description': 'haze', 'icon': '50n'}]","{'speed': 3.36, 'deg': 350}"
5,stations,{'all': 75},200,"{'lon': 14.04, 'lat': 57.19}",1541161200,2664855,"{'temp': 49.06, 'pressure': 1015, 'humidity': 87, 'temp_min': 48.2, 'temp_max': 50}",Varnamo,,"{'type': 1, 'id': 5400, 'message': 0.0039, 'country': 'SE', 'sunrise': 1541139479, 'sunset': 1541171752}",10000.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]","{'speed': 13.87, 'deg': 210}"
6,stations,{'all': 24},200,"{'lon': 73.27, 'lat': 6.15}",1541163337,1337620,"{'temp': 83.86, 'pressure': 1021.45, 'humidity': 100, 'temp_min': 83.86, 'temp_max': 83.86, 'sea_level': 1021.45, 'grnd_level': 1021.45}",Funadhoo,,"{'message': 0.0048, 'country': 'MV', 'sunrise': 1541120011, 'sunset': 1541162837}",,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]","{'speed': 5.73, 'deg': 313.501}"
7,stations,{'all': 90},200,"{'lon': -43.41, 'lat': -22.82}",1541160000,3456160,"{'temp': 73.98, 'pressure': 1016, 'humidity': 83, 'temp_min': 73.4, 'temp_max': 75.2}",Olinda,,"{'type': 1, 'id': 4446, 'message': 0.0031, 'country': 'BR', 'sunrise': 1541146056, 'sunset': 1541192820}",10000.0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]","{'speed': 6.93, 'deg': 180}"
8,stations,{'all': 92},200,"{'lon': 178.42, 'lat': 69.38}",1541163147,2123814,"{'temp': 18.16, 'pressure': 1024.45, 'humidity': 100, 'temp_min': 18.16, 'temp_max': 18.16, 'sea_level': 1027.36, 'grnd_level': 1024.45}",Leningradskiy,,"{'message': 0.0036, 'country': 'RU', 'sunrise': 1541104476, 'sunset': 1541127826}",,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]","{'speed': 2.59, 'deg': 324.501}"
9,stations,{'all': 20},200,"{'lon': 4.31, 'lat': 51.59}",1541161500,2746804,"{'temp': 50.72, 'pressure': 1023, 'humidity': 57, 'temp_min': 50, 'temp_max': 51.8}",Steenbergen,,"{'type': 1, 'id': 5221, 'message': 0.006, 'country': 'NL', 'sunrise': 1541140735, 'sunset': 1541175175}",10000.0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]","{'speed': 10.29, 'deg': 270}"
